h,n,annuli,L,U,switch_width,margin_from_previous
581,1162,5,15048702783488,37856550097084,1607941615,22474469450288
582,1164,5,15169829496871,38192388767287,1607941615,22686720600214
583,1166,5,15291633757802,38530702050738,1607941615,22900755009486
584,1168,5,15414117987939,38871503805485,1607941615,23116584062800
585,1170,5,15537284613106,39214807941366,1607941615,23334219192380
586,1172,5,15661136063293,39560628420105,1607941615,23553671878074
587,1174,5,15785674772656,39908979255408,1607941615,23774953647450
588,1176,5,15910903179517,40259874513059,1607941615,23998076075892
589,1178,5,16036823726364,40613328311016,1607941615,24223050786696
590,1180,5,16163438859851,40969354819507,1607941615,24449889451166
591,1182,5,16290751030798,41327968261126,1607941615,24678603788710
592,1184,5,16418762694191,41689182910929,1607941615,24909205566936
593,1186,5,16547476309182,42053013096530,1607941615,25141706601748
594,1188,5,16676894339089,42419473198197,1607941615,25376118757442
595,1190,5,16807019251396,42788577648948,1607941615,25612453946802
596,1192,5,16937853517753,43160340934647,1607941615,25850724131196
597,1194,5,17069399613976,43534777594100,1607941615,26090941320672
598,1196,5,17201660020047,43911902219151,1607941615,26333117574054
599,1198,5,17334637220114,44291729454778,1607941615,26577264999038
600,1200,5,17468333702491,44674273999189,1607941615,26823395752288
601,1202,5,17602751959658,45059550603918,1607941615,27071522039532
602,1204,5,17737894488261,45447574073921,1607941615,27321656115658
603,1206,5,17873763789112,45838359267672,1607941615,27573810284810
604,1208,5,18010362367189,46231921097259,1607941615,27827996900484
605,1210,5,18147692731636,46628274528480,1607941615,28084228365624
606,1212,5,18285757395763,47027434580939,1607941615,28342517132718
607,1214,5,18424558877046,47429416328142,1607941615,28602875703894
608,1216,5,18564099697127,47834234897593,1607941615,28865316631016
609,1218,5,18704382381814,48241905470890,1607941615,29129852515780
610,1220,5,18845409461081,48652443283821,1607941615,29396496009810
611,1222,5,18987183469068,49065863626460,1607941615,29665259814754
612,1224,5,19129706944081,49482181843263,1607941615,29936156682380
613,1226,5,19272982428592,49901413333164,1607941615,30209199414672
614,1228,5,19417012469239,50323573549671,1607941615,30484400863926
615,1230,5,19561799616826,50748678000962,1607941615,30761773932846
616,1232,5,19707346426323,51176742249981,1607941615,31041331574640
617,1234,5,19853655456866,51607781914534,1607941615,31323086793116
618,1236,5,20000729271757,52041812667385,1607941615,31607052642778
619,1238,5,20148570438464,52478850236352,1607941615,31893242228922
620,1240,5,20297181528621,52918910404403,1607941615,32181668707732
621,1242,5,20446565118028,53362009009752,1607941615,32472345286376
622,1244,5,20596723786651,53808161945955,1607941615,32765285223102
623,1246,5,20747660118622,54257385162006,1607941615,33060501827334
624,1248,5,20899376702239,54709694662433,1607941615,33358008459768
625,1250,5,21051876129966,55165106507394,1607941615,33657818532468
626,1252,5,21205160998433,55623636812773,1607941615,33959945508962
627,1254,5,21359233908436,56085301750276,1607941615,34264402904338
628,1256,5,21514097464937,56550117547527,1607941615,34571204285340
629,1258,5,21669754277064,57018100488164,1607941615,34880363270464
630,1260,5,21826206958111,57489266911935,1607941615,35191893530054
631,1262,5,21983458125538,57963633214794,1607941615,35505808786398
632,1264,5,22141510400971,58441215848997,1607941615,35822122813824
633,1266,5,22300366410202,58922031323198,1607941615,36140849438796
634,1268,5,22460028783189,59406096202545,1607941615,36462002540010
635,1270,5,22620500154056,59893427108776,1607941615,36785596048490
636,1272,5,22781783161093,60384040720315,1607941615,37111643947684
637,1274,5,22943880446756,60877953772368,1607941615,37440160273560
638,1276,5,23106794657667,61375183057019,1607941615,37771159114702
639,1278,5,23270528444614,61875745423326,1607941615,38104654612406
640,1280,5,23435084462551,62379657777417,1607941615,38440660960776
641,1282,5,23600465370598,62886937082586,1607941615,38779192406820
642,1284,5,23766673832041,63397600359389,1607941615,39120263250546
643,1286,5,23933712514332,63911664685740,1607941615,39463887845058
644,1288,5,24101584089089,64429147197007,1607941615,39810080596652
645,1290,5,24270291232096,64950065086108,1607941615,40158855964912
646,1292,5,24439836623303,65474435603607,1607941615,40510228462806
647,1294,5,24610222946826,66002276057810,1607941615,40864212656782
648,1296,5,24781452890947,66533603814861,1607941615,41220823166864
649,1298,5,24953529148114,67068436298838,1607941615,41580074666748
650,1300,5,25126454414941,67606790991849,1607941615,41941981883898
651,1302,5,25300231392208,68148685434128,1607941615,42306559599642
652,1304,5,25474862784861,68694137224131,1607941615,42673822649268
653,1306,5,25650351302012,69243164018632,1607941615,43043785922120
654,1308,5,25826699656939,69795783532819,1607941615,43416464361694
655,1310,5,26003910567086,70352013540390,1607941615,43791872965734
656,1312,5,26181986754063,70911871873649,1607941615,44170026786328
657,1314,5,26360930943646,71475376423602,1607941615,44550940930004
658,1316,5,26540745865777,72042545140053,1607941615,44934630557826
659,1318,5,26721434254564,72613396031700,1607941615,45321110885490
660,1320,5,26902998848281,73187947166231,1607941615,45710397183420
661,1322,5,27085442389368,73766216670420,1607941615,46102504776864
662,1324,5,27268767624431,74348222730223,1607941615,46497449045990
663,1326,5,27452977304242,74933983590874,1607941615,46895245425982
664,1328,5,27638074183739,75523517556981,1607941615,47295909407136
665,1330,5,27824061022026,76116842992622,1607941615,47699456534956
666,1332,5,28010940582373,76713978321441,1607941615,48105902410250
667,1334,5,28198715632216,77314942026744,1607941615,48515262689226
668,1336,5,28387388943157,77919752651595,1607941615,48927553083588
669,1338,5,28576963290964,78528428798912,1607941615,49342789360632
670,1340,5,28767441455571,79140989131563,1607941615,49760987343342
671,1342,5,28958826221078,79757452372462,1607941615,50182162910486
672,1344,5,29151120375751,80377837304665,1607941615,50606331996712
673,1346,5,29344326712022,81002162771466,1607941615,51033510592644
674,1348,5,29538448026489,81630447676493,1607941615,51463714744978
675,1350,5,29733487119916,82262710983804,1607941615,51896960556578
